pin,site,tile
B5,IPAD_X0Y54,GTX_CHANNEL_3_X99Y202
B2,OPAD_X0Y13,GTX_CHANNEL_2_X99Y191
C4,IPAD_X0Y49,GTX_CHANNEL_2_X99Y191
B1,OPAD_X0Y12,GTX_CHANNEL_2_X99Y191
D6,IPAD_X0Y38,GTX_COMMON_X99Y179
C3,IPAD_X0Y48,GTX_CHANNEL_2_X99Y191
D5,IPAD_X0Y39,GTX_COMMON_X99Y179
F5,IPAD_X0Y41,GTX_COMMON_X99Y179
F6,IPAD_X0Y40,GTX_COMMON_X99Y179
D2,OPAD_X0Y11,GTX_CHANNEL_1_X99Y173
E4,IPAD_X0Y37,GTX_CHANNEL_1_X99Y173
D1,OPAD_X0Y10,GTX_CHANNEL_1_X99Y173
E3,IPAD_X0Y36,GTX_CHANNEL_1_X99Y173
F2,OPAD_X0Y9,GTX_CHANNEL_0_X99Y162
G4,IPAD_X0Y31,GTX_CHANNEL_0_X99Y162
F1,OPAD_X0Y8,GTX_CHANNEL_0_X99Y162
G3,IPAD_X0Y30,GTX_CHANNEL_0_X99Y162
